i,60
i,98
i,48
i,50
d,50
i,19
i,43
i,52
i,40
d,60
i,25
i,74
i,28
i,22
i,38
d,40
i,29
i,34
i,15
i,3
i,60
i,96
i,16
i,57
i,95
i,51
i,46
d,29
i,83
i,78
i,79
i,85
i,92
d,34
d,38
i,14
i,35
i,41
i,97
i,67
i,65
d,98
i,91
i,11
d,57
i,9
i,80
i,39
d,67
i,77
i,33
d,48
i,86
d,25
i,48
i,12
d,52
i,89
d,60
i,69
i,54
d,97
i,32
i,90
d,32
i,7
d,83
i,98
i,82
d,69
i,45
d,45
i,69
i,5
i,44
d,85
d,98
d,3
i,81
i,60
d,14
d,46
i,64
d,22
i,85
i,26
i,66
d,60
i,29
i,97
d,26
i,71
i,87
d,82
i,67
i,34
i,57
d,92
d,9
d,54
i,88
i,25
i,46
d,48
d,80
i,22
i,93
d,28
d,11
i,83
d,43
i,73
i,94
d,29
i,27
i,62
i,4
d,74
d,57
i,55
i,14
i,42
d,22
d,33
i,84
i,30
d,81
d,14
d,79
i,29
i,11
i,24
i,10
d,35
d,51
d,93
i,54
d,66
i,43
i,8
d,67
i,76
d,85
d,71
i,2
i,92
i,32
d,34
d,69
d,77
i,35
d,94
i,36
i,1
i,3
i,49
i,59
i,34
i,18
i,53
i,79
i,14
i,13
i,51
i,94
i,69
d,87
d,32
i,47
i,9
d,34
d,12
d,91
i,32
i,31
d,86
i,50
d,14
i,80
i,72
d,79
d,50
d,72
i,23
i,0
i,37
i,68
d,80
d,1
i,80
d,78
d,43
d,80
d,31
d,23
i,20
d,96
d,94
i,56
i,1
d,27
i,40
d,32
d,44
d,9
d,2
i,45
d,45
d,90
d,7
i,93
i,75
d,20
d,69
d,83
i,80
i,43
d,46
d,11
i,6
i,7
d,15
i,11
i,21
d,25
i,58
d,24
d,3
i,17
d,4
d,37
i,34
d,76
i,99
d,51
d,18
i,22
i,25
d,7
d,89
d,25
i,4
i,18
i,26
d,65
d,4
i,51
i,69
d,93
i,25
d,47
i,87
d,22
i,91
d,30
d,25
i,96
i,98
d,75
d,88
i,50
d,50
d,98
d,84
i,94
d,18
i,22
i,82
d,1
i,20
i,86
d,69
i,63
i,76
d,94
i,38
i,31
i,47
d,55
d,92
i,15
i,74
i,78
i,92
d,86
d,74
d,82
d,38
i,77
d,97
i,90
d,62
d,64
i,97
i,75
d,47
i,83
i,47
i,24
d,99
i,3
i,65
d,15
d,83
i,15
d,11
i,67
d,58
i,58
d,29
i,86
i,93
i,33
i,25
i,50
i,60
d,8
i,71
i,94
d,59
i,88
d,24
d,54
i,8
i,99
i,64
d,36
d,20
d,60
d,35
d,16
d,64
i,1
d,33
i,89
i,33
i,83
i,79
d,51
d,6
i,85
i,84
d,50
d,5
i,11
d,0
i,23
d,25
d,93
i,5
i,72
i,6
i,28
i,98
d,23
d,39
d,84
d,58
d,89
i,38
d,91
i,16
i,23
d,6
d,86
i,54
d,15
d,34
i,84
d,8
i,46
d,71
i,89
i,45
d,10
i,30
i,20
i,66
d,41
i,12
d,73
i,18
i,4
i,55
i,71
d,68
i,82
d,21
i,58
d,23
d,92
d,4
i,86
d,22
i,57
d,13
d,97
d,58
d,76
d,75
d,3
i,27
d,63
i,37
i,23
d,54
i,29
i,7
i,8
d,84
i,63
i,13
i,93
d,38
d,77
i,64
d,30
i,32
i,38
d,28
i,0
d,18
i,69
i,60
d,32
d,66
i,41
i,68
i,76
i,21
i,59
i,35
d,53
d,55
i,50
i,48
d,16
d,21
d,33
d,11
i,61
i,51
d,61
d,8
d,68
d,7
i,52
d,23
i,22
d,31
d,60
d,94
d,19
d,72
i,9
d,96
d,27
i,62
i,18
d,83
d,90
i,34
i,6
d,99
d,40
i,31
i,28
i,90
d,5
i,16
i,33
i,44
i,8
i,10
d,56
i,30
d,41
i,2
d,45
d,13
d,1
i,39
d,76
d,46
i,84
i,92
i,83
d,20
i,97
d,51
d,85
d,0
d,29
i,96
i,27
i,13
i,91
i,20
i,55
d,47
d,30
i,81
i,40
i,19
i,11
i,94
i,60
d,37
d,31
d,49
i,5
d,60
d,27
i,70
d,90
i,76
d,59
d,16
i,74
d,40
i,58
d,63
d,88
d,11
i,24
d,24
d,89
d,97
d,34
i,34
i,16
d,16
i,75
i,21
i,23
d,19
d,52
d,6
i,61
i,90
d,75
i,30
i,3
i,54
d,94
i,49
d,65
d,21
i,72
i,46
d,49
d,18
i,68
d,28
i,28
d,26
i,6
i,18
i,75
d,30
d,87
d,44
d,3
d,67
d,80
i,1
i,67
d,12
i,25
i,85
d,67
d,43
i,80
d,42
d,75
d,76
i,44
i,16
d,78
i,73
i,78
d,82
d,2
d,74
d,84
i,19
i,97
i,15
d,80
i,2
d,92
i,77
d,33
d,61
i,31
i,63
i,32
d,62
i,47
i,80
d,96
i,42
d,91
i,74
i,60
d,44
d,85
i,26
d,93
d,79
d,97
i,4
i,40
i,37
i,82
d,37
i,75
d,32
i,94
i,91
d,82
d,23
d,71
i,59
i,61
i,67
i,37
d,73
i,21
i,79
d,90
i,53
d,86
i,11
i,85
d,67
i,0
i,43
i,90
i,33
d,0
d,63
d,26
i,0
d,39
d,57
d,64
i,51
i,99
d,60
i,3
d,18
d,50
i,26
d,21
d,91
i,56
d,28
i,63
d,9
d,90
i,52
d,40
d,52
d,85
d,2
i,39
d,55
d,81
i,28
d,1
i,90
i,50
d,94
i,91
d,95
d,53
i,65
d,65
